Model,Test Accuracy (%),Random Sample Accuracy (%),Avg Confidence,Std Confidence,Avg Inference Time (ms),Std Inference Time (ms),Parameters
simple_cnn_large,95.06579041481018,75.0,0.94299954,0.14572422,31.099116802215576,1.538876670793838,1239045
hybrid_cnn_transformer,90.46052694320679,80.0,0.8991213,0.08472374,36.30537986755371,1.212494076447453,2227973
relative_pos_transformer_cnn,89.80262875556946,80.0,0.83394134,0.14853947,38.226473331451416,2.127261514300993,2460709
cls_token_transformer_cnn,89.47368264198303,65.0,0.7908003,0.17032415,38.47010135650635,1.4162390840406978,2438149
improved_transformer_cnn,88.15789222717285,80.0,0.76660883,0.18828286,37.974536418914795,1.7714329055041267,2437893
cnn_lstm_model,87.82894611358643,80.0,0.8670629,0.19707945,36.96504831314087,2.396979315748239,5565445
basic_transformer_vit,83.88158082962036,65.0,0.8505767,0.1864639,38.46691846847534,1.819253494281554,2437893
lstm_model,69.73684430122375,50.0,0.944337,0.10382724,54.48862314224243,71.25319336371557,855045
