val_accuracy,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/n_features,config/n_classes,config/epochs,config/n_neurons_hidden,config/learning_rate,config/batch_size,config/weight_decay,config/homogeneous
0.6096033453941345,1768797355,,True,1,2026-01-19_05-35-55,1885.1910917758942,1885.1910917758942,318929,DESKTOP-PH8A95A,172.21.143.39,1885.1910917758942,1,"31_batch_size=32,homogeneous=True,learning_rate=0.0002,n_neurons_hidden=156,spiking=True,weight_decay=0.0001",30720,3,30,156,0.0002031548558060784,32,0.00013703150570335354,True
0.5532358884811401,1768799857,,True,1,2026-01-19_06-17-37,2495.0075345039368,2495.0075345039368,320749,DESKTOP-PH8A95A,172.21.143.39,2495.0075345039368,1,"32_batch_size=16,homogeneous=True,learning_rate=0.0049,n_neurons_hidden=212,spiking=True,weight_decay=0.0010",30720,3,30,212,0.004852077231116718,16,0.0009698878255253571,True
0.5678496956825256,1768809293,,True,1,2026-01-19_08-54-53,1876.8326950073242,1876.8326950073242,330390,DESKTOP-PH8A95A,172.21.143.39,1876.8326950073242,1,"36_batch_size=32,homogeneous=True,learning_rate=0.0077,n_neurons_hidden=153,spiking=True,weight_decay=0.0009",30720,3,30,153,0.00772786641194657,32,0.000904322587700587,True
0.6075156331062317,1768811463,,True,1,2026-01-19_09-31-03,2163.3700432777405,2163.3700432777405,333121,DESKTOP-PH8A95A,172.21.143.39,2163.3700432777405,1,"37_batch_size=64,homogeneous=True,learning_rate=0.0002,n_neurons_hidden=180,spiking=True,weight_decay=0.0008",30720,3,30,180,0.00022972070506698073,64,0.0008239626214487992,True
0.5657619833946228,1768818231,,True,1,2026-01-19_11-23-51,2201.19286441803,2201.19286441803,339171,DESKTOP-PH8A95A,172.21.143.39,2201.19286441803,1,"40_batch_size=128,homogeneous=False,learning_rate=0.0019,n_neurons_hidden=180,spiking=True,weight_decay=0.0007",30720,3,30,180,0.0018789876118565807,128,0.0007026037507662864,False
0.594989538192749,1768823615,,True,1,2026-01-19_12-53-35,2912.0549552440643,2912.0549552440643,343111,DESKTOP-PH8A95A,172.21.143.39,2912.0549552440643,1,"43_batch_size=16,homogeneous=False,learning_rate=0.0018,n_neurons_hidden=228,spiking=True,weight_decay=0.0000",30720,3,30,228,0.0018379031679423507,16,2.2549477744979357e-05,False
0.5887265205383301,1768826624,,True,1,2026-01-19_13-43-44,2997.321856021881,2997.321856021881,345420,DESKTOP-PH8A95A,172.21.143.39,2997.321856021881,1,"44_batch_size=16,homogeneous=True,learning_rate=0.0084,n_neurons_hidden=247,spiking=True,weight_decay=0.0000",30720,3,30,247,0.008393157983157892,16,1.9848334373769318e-05,True
0.6033402681350708,1768832343,,True,1,2026-01-19_15-19-03,2356.7302601337433,2356.7302601337433,350264,DESKTOP-PH8A95A,172.21.143.39,2356.7302601337433,1,"47_batch_size=64,homogeneous=False,learning_rate=0.0001,n_neurons_hidden=166,spiking=True,weight_decay=0.0000",30720,3,30,166,0.00012611795831451246,64,2.287464454581853e-05,False
0.5991649031639099,1768834660,,True,1,2026-01-19_15-57-40,2306.3493196964264,2306.3493196964264,355137,DESKTOP-PH8A95A,172.21.143.39,2306.3493196964264,1,"48_batch_size=16,homogeneous=True,learning_rate=0.0022,n_neurons_hidden=152,spiking=True,weight_decay=0.0000",30720,3,30,152,0.0021811878685557805,16,3.10019844226976e-05,True
0.5866388082504272,1768836500,,True,1,2026-01-19_16-28-20,1830.2117824554443,1830.2117824554443,359547,DESKTOP-PH8A95A,172.21.143.39,1830.2117824554443,1,"49_batch_size=16,homogeneous=True,learning_rate=0.0004,n_neurons_hidden=134,spiking=True,weight_decay=0.0001",30720,3,30,134,0.00037149117834907043,16,9.860153867335775e-05,True
